WKT,name,description
"POLYGON ((-73.3302489 41.1544686, -73.3302797 41.1545055, -73.3303139 41.1544944, -73.3302865 41.154455, -73.3302489 41.1544686))",Spot 227,
"POLYGON ((-73.3302797 41.1545055, -73.3302489 41.1544686, -73.3302164 41.154482, -73.3302445 41.1545178, -73.3302797 41.1545055))",Spot 226,
"POLYGON ((-73.3302164 41.154482, -73.3301851 41.1544954, -73.3302119 41.1545323, -73.3302445 41.1545178, -73.3302164 41.154482))",Spot 225,
"POLYGON ((-73.3301851 41.1544954, -73.3301569 41.1545075, -73.3301851 41.1545444, -73.3302119 41.1545323, -73.3301851 41.1544954))",Spot 224,
"POLYGON ((-73.3301569 41.1545075, -73.3301275 41.1545186, -73.3301557 41.1545559, -73.3301851 41.1545444, -73.3301569 41.1545075))",Spot 223,
"POLYGON ((-73.3301007 41.1545302, -73.3301268 41.1545691, -73.3301557 41.1545559, -73.3301275 41.1545186, -73.3301007 41.1545302))",Spot 222,
"POLYGON ((-73.3301007 41.1545302, -73.3300705 41.1545415, -73.3301 41.1545819, -73.3301268 41.1545691, -73.3301007 41.1545302))",Spot 221,
"POLYGON ((-73.3300423 41.1545546, -73.3300718 41.1545955, -73.3301 41.1545819, -73.3300705 41.1545415, -73.3300423 41.1545546))",Spot 220,
"POLYGON ((-73.3300142 41.1545662, -73.330041 41.1546086, -73.3300718 41.1545955, -73.3300423 41.1545546, -73.3300142 41.1545662))",Spot 219,
"POLYGON ((-73.3300142 41.1545662, -73.3299857 41.1545773, -73.3300138 41.1546192, -73.330041 41.1546086, -73.3300142 41.1545662))",Spot 218,
"POLYGON ((-73.3299857 41.1545773, -73.3299561 41.1545879, -73.3299863 41.1546313, -73.3300138 41.1546192, -73.3299857 41.1545773))",Spot 217,
"POLYGON ((-73.3299561 41.1545879, -73.3299273 41.1546005, -73.3299582 41.1546424, -73.3299863 41.1546313, -73.3299561 41.1545879))",Spot 216,
"POLYGON ((-73.3298992 41.1546121, -73.329928 41.154653, -73.3299582 41.1546424, -73.3299273 41.1546005, -73.3298992 41.1546121))",Spot 215,
"POLYGON ((-73.3298696 41.1546238, -73.3298998 41.1546662, -73.329928 41.154653, -73.3298992 41.1546121, -73.3298696 41.1546238))",Spot 214,
